"","State","Month","Race","Vaccine","Population","Republican.Rep.","Democratics.Rep.","Region","Season"
"117","Kentucky","Sep","White",8.1,94.88560858,0.44,0.43,"South","Near"
"118","Louisiana","Sep","White",7.6,62.8721021,0.41,0.43,"South","Near"
"119","Maine","Sep","White",7.1,40.40466548,0.36,0.47,"Northeast","Near"
"120","Maryland","Sep","White",9.9,313.6722251,0.31,0.55,"South","Near"
"121","Massachusetts","Sep","White",8.8,625.996938,0.27,0.56,"Northeast","Near"
"122","Michigan","Sep","White",7.7,132.2367569,0.34,0.47,"Midwest","Near"
"123","Minnesota","Sep","White",8.5,55.95608978,0.39,0.46,"Midwest","Near"
"124","Mississippi","Sep","White",6.4,35.99025877,0.44,0.42,"South","Near"
"125","Missouri","Sep","White",7.5,70.46388865,0.41,0.42,"Midwest","Near"
"126","Montana","Sep","White",5.8,6.225926791,0.49,0.3,"West","Near"
"127","Nebraska","Sep","White",7.2,19.74081011,0.47,0.36,"Midwest","Near"
"128","Nevada","Sep","White",8.3,13.31713203,0.37,0.46,"West","Near"
"129","New Hampshire","Sep","White",7.9,135.2202029,0.35,0.44,"Northeast","Near"
"130","New Jersey","Sep","White",NA,665.7877072,0.3,0.51,"Northeast","Near"
"131","New Mexico","Sep","White",8.3,6.43256293,0.37,0.48,"West","Near"
"132","New York","Sep","White",7.6,231.5894037,0.28,0.53,"Northeast","Near"
"133","North Carolina","Sep","White",7.7,132.8646907,0.41,0.43,"South","Near"
"134","North Dakota","Sep","White",5.7,9.236904658,0.5,0.33,"Midwest","Near"
"135","Ohio","Sep","White",8.2,224.7545723,0.42,0.4,"Midwest","Near"
"136","Oklahoma","Sep","White",6.6,37.52146944,0.45,0.4,"South","Near"
"137","Oregon","Sep","White",7.2,32.63181359,0.32,0.47,"West","Near"
"138","Pennsylvania","Sep","White",9.4,218.2271531,0.39,0.46,"Northeast","Near"
"139","Rhode Island","Sep","White",7.5,738.5589942,0.3,0.48,"Northeast","Near"
"140","South Carolina","Sep","White",6.9,106.2007904,0.43,0.39,"South","Near"
"141","South Dakota","Sep","White",5.7,9.432751851,0.53,0.37,"Midwest","Near"
"142","Tennessee","Sep","White",7.1,120.3839398,0.48,0.36,"South","Near"
"143","Texas","Sep","White",9,45.26330017,0.39,0.4,"South","Near"
"144","Utah","Sep","White",7.9,29.55524048,0.54,0.3,"West","Near"
"145","Vermont","Sep","White",5.6,62.56957509,0.29,0.57,"Northeast","Near"
"146","Virginia","Sep","White",9.7,131.9899995,0.43,0.39,"South","Near"
"147","Washington","Sep","White",9.4,76.2533868,0.33,0.44,"West","Near"
"148","West Virginia","Sep","White",5.9,69.35313655,0.43,0.41,"South","Near"
"149","Wisconsin","Sep","White",6.4,86.65012704,0.42,0.42,"Midwest","Near"
"150","Wyoming","Sep","White",4.7,5.010926317,0.57,0.25,"West","Near"
"151","Alabama","Oct","White",21.3,62.88571429,0.52,0.35,"South","Near"
"152","Alaska","Oct","White",16.4,0.785223985,0.39,0.32,"West","Near"
"153","Arizona","Oct","White",19.1,33.76074867,0.4,0.39,"West","Near"
"154","Arkansas","Oct","White",23.4,41.73417187,0.46,0.38,"South","Near"
"155","California","Oct","White",19.8,93.7126041,0.3,0.49,"West","Near"
